CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
788358699,19,MANHATTAN,12/20/2019,00:01:00,01/14/2020,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,01/28/2020,,UNKNOWN,UNKNOWN,U,,65+,WHITE,F,996076,222907,40.77850481600007,-73.95730125699998,"(40.77850481600007, -73.95730125699998)"
852053578,90,BROOKLYN,12/20/2019,00:40:00,12/21/2019,00:50:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMMERCIAL BUILDING,01/23/2020,,,,,,UNKNOWN,UNKNOWN,D,999857,196169,40.705109806000046,-73.94371121999995,"(40.705109806000046, -73.94371121999995)"
506330314,10,MANHATTAN,12/20/2019,00:01:00,12/24/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE - APT. HOUSE,01/27/2020,,,,,,45-64,WHITE,F,984805,210121,40.743418414000075,-73.99799856299995,"(40.743418414000075, -73.99799856299995)"
357769352,72,BROOKLYN,12/20/2019,21:00:00,12/21/2019,14:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,353,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE - APT. HOUSE,01/23/2020,,UNKNOWN,UNKNOWN,U,,25-44,ASIAN / PACIFIC ISLANDER,M,983112,174599,40.645918695000034,-74.00410225899996,"(40.645918695000034, -74.00410225899996)"
781042457,52,BRONX,12/20/2019,19:00:00,01/02/2020,19:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE - APT. HOUSE,01/21/2020,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,1015478,257490,40.87337798700002,-73.88708546399994,"(40.87337798700002, -73.88708546399994)"
809889939,115,QUEENS,12/20/2019,13:00:00,12/20/2019,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,168,SODOMY 1,RESIDENCE - APT. HOUSE,01/28/2020,,<18,WHITE HISPANIC,M,,<18,WHITE,F,1018699,215043,40.75686097700003,-73.87565666399996,"(40.75686097700003, -73.87565666399996)"
173813175,104,QUEENS,12/20/2019,04:20:00,12/20/2019,04:25:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO QUEENS NORTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,01/27/2020,,,,,,45-64,WHITE HISPANIC,M,1013106,206173,40.73253508100004,-73.89588281199997,"(40.73253508100004, -73.89588281199997)"
779208177,67,BROOKLYN,12/20/2019,12:00:00,01/23/2020,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,353,MISDEMEANOR,INSIDE,UNAUTHORIZED USE OF A VEHICLE,,PATROL BORO BKLYN SOUTH,462,UNAUTHORIZED USE VEHICLE 3,COMMERCIAL BUILDING,01/23/2020,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,1008463,175594,40.64861673100006,-73.912745639,"(40.64861673100006, -73.912745639)"
787935418,79,BROOKLYN,12/20/2019,11:30:00,01/22/2020,14:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN NORTH,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,01/25/2020,,,,,,18-24,WHITE,M,995200,191169,40.69139295700006,-73.96051588399997,"(40.69139295700006, -73.96051588399997)"
752953513,19,MANHATTAN,12/20/2019,15:00:00,01/20/2020,22:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,01/21/2020,,UNKNOWN,UNKNOWN,U,,65+,WHITE,M,998839,224119,40.78182730700007,-73.94732225099993,"(40.78182730700007, -73.94732225099993)"
