Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
571503002,MANHATTAN,12/27/2019,40.74227384200003,-74.00254921899995,Chelsea
263835609,MANHATTAN,12/27/2019,40.79115187800004,-73.88438275299995,Rikers Island
449994778,BRONX,12/27/2019,40.83250987400004,-73.90949794099998,South Bronx
596764851,BROOKLYN,12/27/2019,40.68538098800008,-73.95791615599995,Bedford Stuyvesant
642781365,QUEENS,12/27/2019,40.77753404400005,-73.77992115299999,Bayside
666818925,MANHATTAN,12/27/2019,40.738366687000045,-73.98202736399995,Gramercy
623423079,BRONX,12/27/2019,40.858886731000034,-73.89979173499995,Fordham
224652565,MANHATTAN,12/27/2019,40.779660972000045,-73.95191324999998,Upper East Side
989989737,BRONX,12/27/2019,40.806909010000034,-73.88401944299993,Hunts Point
855359877,MANHATTAN,12/27/2019,40.851460104000076,-73.93035408599997,Washington Heights
201556053,STATEN ISLAND,12/27/2019,40.59031008200003,-74.09630119999997,Old Town
775072989,BROOKLYN,12/27/2019,40.65687397300008,-73.89422766599995,East New York
359383340,STATEN ISLAND,12/27/2019,40.592324305000034,-74.07045871799994,South Beach
740373252,MANHATTAN,12/27/2019,40.75099904800004,-73.99062471199994,Garment District
205447823,STATEN ISLAND,12/27/2019,40.60641789700002,-74.09131128799999,Grasmere - Concord
350286559,QUEENS,12/27/2019,40.689870677000044,-73.79568347999998,Jamaica
303382060,MANHATTAN,12/27/2019,40.78405116600004,-73.94870350599997,Upper East Side
609741608,BROOKLYN,12/27/2019,40.68370877500007,-73.95618653599996,Bedford Stuyvesant
342662051,MANHATTAN,12/27/2019,40.743418414000075,-73.99799856299995,Chelsea
925446489,BRONX,12/27/2019,40.86929607100007,-73.88376600799995,Bedford Park
758228217,MANHATTAN,12/27/2019,40.77903261900008,-73.95237226799998,Upper East Side
279020723,BROOKLYN,12/27/2019,40.715381093000076,-73.95051670899994,Williamsburg
219138013,QUEENS,12/27/2019,40.759340278000025,-73.71420205399994,Glen Oaks
931110162,BROOKLYN,12/27/2019,40.66930147100004,-73.89036524699995,East New York
592313861,QUEENS,12/27/2019,40.703959628000064,-73.78959911399994,Jamaica
216491931,BRONX,12/27/2019,40.82354469200004,-73.83640160899995,Throggs Neck
159730297,BROOKLYN,12/27/2019,40.70350657100005,-73.92003135299996,Bushwick
803276904,BROOKLYN,12/27/2019,40.618731138000044,-74.02730146699997,Fort Hamilton
511237763,QUEENS,12/27/2019,40.77443742100007,-73.90012099899997,Astoria
334312084,MANHATTAN,12/27/2019,40.78281448000007,-73.97857414299993,Upper West Side
392458102,BROOKLYN,12/27/2019,40.70350657100005,-73.92003135299996,Bushwick
595082340,BRONX,12/27/2019,40.88731363400007,-73.84727175799998,Williamsbridge
558946031,BROOKLYN,12/27/2019,40.642451712000025,-73.95545331999993,Flatbush
293779071,QUEENS,12/27/2019,40.72921459500003,-73.78532682899998,Utopia
